pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
K2-65 b,K2-65,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,12.64750000,1.580,3.12000,4.350000,,45.00,,89.148,28.897357,,5213.00,0.84,0.87,-0.328,4.53,,,,
K2-66 b,K2-66,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,5.06963000,2.490,21.30000,7.800000,0.000000,840.00,1372,86.600,7.874000,,5887.00,1.67,1.11,0.506,4.03,,0.29907,3.7000,11.9961000
K2-68 b,K2-68,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,8.05428000,1.580,3.12000,4.350000,,41.00,,88.715,19.902276,,4746.00,0.68,0.73,-0.673,4.63,,3.28491,,12.6573000
K2-69 b,K2-69,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,7.06599000,2.320,5.99000,2.640000,,17.90,,,27.600000,,4127.00,0.49,0.55,-1.356,4.79,,5.05142,,15.0572000
K2-7 b,K2-7,b,1,1,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,28.67992000,2.670,7.61000,2.200000,,125.00,651,,40.290000,,5772.00,0.96,0.97,0.405,3.82,,0.34003,,13.0573000
K2-70 b,K2-70,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,13.97896000,2.890,8.70000,1.980000,,62.00,,89.145,29.574869,,5622.00,0.93,0.94,-0.429,4.48,,2.39642,,12.7782000
K2-71 b,K2-71,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,6.98541000,2.150,5.27000,2.910000,,13.40,,,,,4006.00,0.43,0.48,-1.519,4.85,,6.24198,,15.1887000
K2-72 b,K2-72,b,1,4,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,5.57721200,1.080,1.28000,5.580000,0.110000,8.50,,89.150,24.160000,,3360.47,0.33,0.27,-1.837,4.90,,12.29770,,14.2789000
K2-72 c,K2-72,c,1,4,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,15.18903400,1.160,1.65000,5.810000,0.110000,2.20,,89.540,47.820000,,3360.47,0.33,0.27,-1.837,4.90,,12.29770,,14.2789000
K2-72 d,K2-72,d,1,4,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,7.76017800,1.010,1.01000,5.390000,0.110000,5.40,,89.260,29.910000,,3360.47,0.33,0.27,-1.837,4.90,,12.29770,,14.2789000
K2-72 e,K2-72,e,1,4,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,24.15886800,1.290,2.21000,5.660000,0.110000,1.20,,89.680,64.530000,,3360.47,0.33,0.27,-1.837,4.90,,12.29770,,14.2789000
K2-73 b,K2-73,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,7.49543000,2.450,6.57000,2.450000,,213.00,,88.443,15.108184,,5922.00,1.06,1.05,0.076,4.41,,1.26589,,11.7146000
K2-74 b,K2-74,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,19.56660000,2.310,5.95000,2.650000,,59.10,,88.920,26.134571,,6060.00,0.98,0.96,0.060,4.44,,1.46962,,12.4364000
K2-75 b,K2-75,b,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,7.81420000,2.670,7.61000,2.200000,,430.00,,87.413,10.300000,,5995.00,1.56,1.16,0.349,4.12,,0.45516,,12.5886000
K2-75 c,K2-75,c,1,2,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,18.31100000,2.770,8.10000,2.090000,,138.00,,88.796,21.419376,,5995.00,1.56,1.16,0.349,4.12,,0.45516,,12.5886000
K2-77 b,K2-77,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,8.19979600,2.300,603.87700,,0.140000,58.00,,88.700,23.200000,,4970.00,0.76,0.80,-0.500,4.47,0.850,2.50000,4.0000,11.9202000
K2-79 b,K2-79,b,1,1,0,Transit,2016,2016-09,Space,K2,0.95 m Kepler Telescope,10.99573000,3.690,13.20000,1.440000,,186.00,,88.635,18.100000,,5926.00,1.28,1.06,0.018,4.25,,0.54023,,11.8031000
K2-8 b,K2-8,b,1,2,0,Transit,2015,2015-08,Space,K2,0.95 m Kepler Telescope,10.35239000,3.580,12.50000,1.500000,,37.70,631,86.420,14.100000,K3 V,4870.00,0.74,0.78,-0.553,4.52,,2.36326,2.0000,14.3358000
