pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor
5.72319,13.115,279.6904,0.79,0.09,433.0,1271.0,87.1,11.74
2.8997,10.536,206.5895,0.855,0.0,,1189.0,87.24,10.05
2.8106,16.141,263.7989,0.309,0.04,,1630.0,83.6,7.43
5.00542,12.218,721.4741,2.18,0.25,,1450.0,87.1,9.7
2.1500082,22.194,216.1244,0.108,0.159,1841.0,1836.0,88.98,5.344
3.47447,20.737,292.4036,0.2,0.0,,1782.0,87.2,6.57
5.452654,13.417,1058.3739,2.5,0.432,,1520.0,87.1,9.48
3.646706,14.93,335.62848,0.55,0.02,,1581.0,87.3,7.45
1.32734683,14.314,587.41341,1.175,0.063,1821.0,1781.0,87.13,4.95
2.797436,13.204,371.528,0.89,0.058,,1271.0,86.9,9.32
4.640382,9.247,84.857,0.59,0.067,,1082.0,88.3,12.17
3.54387,17.609,190.372,0.19,0.0,,1752.0,87.0,6.74
3.056536,14.28,213.255,0.403,0.0,,1686.0,89.91,6.04
4.45724,17.038,152.5584,0.15,0.0,,1770.0,88.3,5.94
2.69405,22.978,378.2177,0.204,0.0,,1941.0,87.7,5.45
4.641878,14.348,331.801,0.61,0.0,,1428.0,85.9,8.08
3.332687,14.359,210.395,0.39,0.0,,1361.0,88.7,8.64
4.301219,13.922,111.871,0.23,0.044,,1108.0,89.1,11.49
872.2,13.0,1271.3,3.18,0.494,,,,
3.128992,15.984,283.492,0.38,0.049,,1652.0,87.8,7.36
4.463129,14.392,156.684,0.28,0.123,,1458.0,85.5,8.86
2.69155,17.822,699.226,0.75,0.0,,2131.0,86.2,5.15
2.78849,13.563,311.4734,0.642,0.0,,1539.0,86.75,7.53
3.1220109,14.437,429.0705,0.78,0.115,,1862.0,83.65,5.68
4.2180278,14.493,98.20947,0.178,0.123,,1192.0,88.48,10.48
2.7535953,11.31,259.98494,0.98,0.047,,1218.0,87.02,8.89
1.9616241,14.773,471.65972,0.8,0.134,,1778.0,86.2,5.61
3.799847,10.581,241.5508,1.118,0.074,,818.0,87.04,14.34
