st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
,5524.0,0.89,0.92,-0.214,4.51,4.79,2.27396,,13.7823
,5763.0,0.99,1.07,-0.039,4.47,1.45,1.46831,,13.0657
,5547.0,0.87,0.89,-0.179,4.51,5.3,1.902,1.1,11.1647
G2 V,5820.0,0.95,1.05,-0.06,4.5,0.91,1.713,4.4,12.379
G2 V,5820.0,0.95,1.05,-0.094,4.5,0.91,1.713,4.4,12.379
M1 V,3705.0,0.5,0.51,-1.301,4.75,13.8,0.18002,,15.8133
M1 V,3705.0,0.5,0.51,-1.301,4.75,13.8,5.0392,,15.8133
M1 V,4252.0,0.55,0.52,-1.301,4.73,13.8,5.0392,,15.8133
,5946.0,1.08,1.02,0.207,4.38,4.9,1.06872,,12.1868
,6166.0,2.06,1.41,0.755,3.96,3.09,0.16175,,13.228
,5526.0,0.9,0.93,-0.122,4.5,4.57,1.31404,,13.4161
,4671.0,0.67,0.7,-0.643,4.63,5.75,2.8465,,13.3744
,6206.0,1.22,1.16,0.529,4.33,2.63,0.49243,,13.5408
,5882.0,1.07,1.04,0.107,4.39,4.47,1.11904,,14.105
,5967.0,1.15,1.11,0.271,4.36,3.31,1.70234,,14.251
,4828.0,0.73,0.78,-0.555,4.61,2.88,4.148,,14.207
,5535.0,0.9,0.93,-0.201,4.5,4.37,3.16564,,14.9844
,5360.0,0.84,0.88,-0.306,4.54,4.57,2.57485,5.0,14.6226
,5360.0,0.84,0.88,-0.306,4.54,4.57,3.18108,5.0,14.6226
,4362.0,0.58,0.62,-0.763,4.7,2.34,0.0468,,15.7813
,4362.0,0.58,0.62,-0.763,4.7,2.34,0.02459,,15.7813
,4503.0,0.62,0.63,-0.763,4.68,2.34,3.6635,,15.7813
,4503.0,0.62,0.63,-0.763,4.68,2.34,1.67234,,15.7813
,4503.0,0.62,0.63,-0.763,4.68,2.34,3.6455,,15.7813
,5322.0,0.83,0.87,-0.384,4.55,4.68,1.28385,4.1,14.4716
,4286.0,0.63,0.65,-0.895,4.66,3.8,4.18804,,14.8603
,5863.0,1.04,1.03,0.063,4.42,3.89,0.78445,,14.2624
,5266.0,0.85,0.92,-0.261,4.55,2.88,1.83916,,14.9567
,5266.0,0.85,0.92,-0.261,4.55,2.88,0.85283,,14.9567
,5447.0,0.92,0.93,-0.118,4.49,5.62,1.70942,,14.2961
,5894.0,1.04,1.03,0.264,4.42,3.89,1.04054,,14.161
,5740.0,0.98,1.0,-0.048,4.46,4.17,1.43045,,14.1247
,6068.0,1.16,1.11,0.728,4.35,3.24,0.1961,,14.6387
,5242.0,0.81,0.85,-0.384,4.56,4.47,2.34352,,14.9538
,5630.0,0.95,0.96,-0.121,4.47,4.37,1.92199,,14.7424
,4840.0,4.23,1.32,0.905,3.31,3.5,0.0246,,12.4298
,4819.44,4.22,1.29,0.905,3.31,4.37,0.0246,,12.4298
,3556.0,0.33,0.34,-1.717,4.94,4.07,8.38608,,14.7511
,5646.0,0.94,0.96,-0.18,4.48,4.27,2.40514,,14.3316
,5646.0,0.94,0.96,-0.18,4.48,4.27,4.18915,,14.3316
,5575.0,0.9,0.93,0.016,4.5,4.57,0.90798,,14.7427
,5066.0,0.77,0.8,-0.444,4.58,5.37,7.39065,,14.7389
,5626.0,0.92,0.95,-0.064,4.49,4.27,4.7677,,14.7194
,5735.0,0.95,0.98,-0.055,4.47,4.07,1.04438,,
,5132.0,0.79,0.83,-0.524,4.57,4.57,6.2581,,14.9644
,5148.0,0.79,0.84,-0.409,4.57,4.68,2.41679,7.2,14.6694
,3768.0,0.53,0.55,-1.33,4.73,5.89,4.73516,,14.2513
,5616.0,0.93,0.95,-0.107,4.48,4.9,2.06775,,14.0822
,5145.0,0.73,0.83,-0.342,4.63,0.6,2.74529,,14.7738
,5145.0,0.73,0.83,-0.342,4.63,0.6,0.07686,,14.7738
,5496.0,0.9,0.93,-0.296,4.5,5.01,4.21558,,14.3288
,5527.0,0.9,0.93,-0.223,4.51,4.68,1.40966,,14.6536
,5212.0,0.79,0.83,-0.434,4.57,4.68,3.33442,,14.4853
,5746.0,1.02,0.99,0.029,4.41,5.89,1.55582,,14.1359
,5612.0,0.91,0.95,-0.214,4.5,4.17,2.41976,,14.5392
,5710.0,0.95,0.97,-0.084,4.47,3.98,0.97711,,14.7124
,5672.0,0.97,0.99,-0.211,4.46,4.47,0.93119,,14.382
,4984.0,0.73,0.78,-0.555,4.61,3.8,2.56615,,14.9368
,5334.0,0.83,0.87,-0.337,4.54,4.68,0.98429,,14.4107
,5636.0,0.96,0.99,-0.311,4.47,4.07,6.07188,,14.2462
,5843.0,1.03,0.95,-0.004,4.39,2.14,1.2684,,14.8663
,5843.0,1.03,0.95,-0.004,4.39,2.14,0.05472,,14.8663
,6099.0,1.13,1.04,-0.004,4.37,2.14,0.14334,,14.8663
,4298.0,0.64,0.67,-0.896,4.66,3.47,3.53227,,14.9505
,5772.0,1.0,1.0,-0.169,4.44,4.07,1.96293,,14.5302
,5564.0,0.91,0.93,-0.414,4.49,4.47,3.67643,,14.9129
,5523.0,0.91,0.94,-0.101,4.5,4.47,1.52585,,14.7985
,6195.0,1.24,1.17,0.52,4.31,2.88,0.34474,,14.8141
,5593.0,0.93,0.96,-0.163,4.49,3.63,2.10797,,14.0171
,5575.0,0.92,0.94,-0.141,4.5,4.17,3.58201,,14.4125
,5549.0,0.89,0.92,-0.238,4.51,4.79,5.43604,,14.8658
,5835.0,1.0,1.01,0.207,4.44,4.07,1.5786,,14.6813
,5296.0,0.83,0.88,-0.347,4.55,4.47,2.33888,3.9,14.6611
,6074.0,0.94,1.04,0.324,4.51,0.26,0.89116,,14.2786
,6074.0,0.94,1.04,0.324,4.51,0.26,0.56653,,14.2786
,6000.0,1.15,1.1,0.477,4.35,3.55,0.48383,,14.4165
,5677.0,0.94,0.97,-0.078,4.48,4.17,1.00312,,14.4607
,5913.0,1.04,1.04,0.185,4.42,3.89,1.10793,,14.6275
,5967.0,1.1,1.08,0.079,4.39,3.63,1.07729,,14.4995
,5485.0,0.87,0.91,-0.193,4.52,4.27,3.04887,,14.7563
,5138.5,0.82,0.93,-0.348,4.54,2.7,2.60841,,14.7628
,5138.5,0.82,0.93,-0.348,4.46,2.7,3.72033,,14.7628
,6267.0,1.32,1.21,0.314,4.27,2.69,2.80258,,14.0136
,5683.0,0.95,0.97,-0.033,4.47,4.27,1.86936,,14.0185
,5307.0,0.86,0.87,-0.258,4.51,7.59,1.5731,,14.7207
,5245.0,0.9,0.9,-0.258,4.48,12.3,1.7387,,14.7207
,5127.0,0.79,0.83,-0.522,4.57,5.01,2.0611,,14.9483
,5647.0,1.39,1.21,0.189,4.24,1.3,0.77551,3.0,13.1714
,5905.0,1.26,1.04,0.369,4.26,5.0,0.14551,,13.9132
,5905.0,1.26,1.04,0.369,4.26,5.0,0.54873,,13.9132
,5905.0,1.26,1.04,0.369,4.26,5.0,2.22287,,13.9132
,5279.0,0.81,0.84,-0.339,4.56,4.57,0.52088,,14.701
,5160.0,0.79,0.85,-0.428,4.57,4.07,0.73018,0.9,14.0013
,6062.0,1.13,1.08,0.326,4.37,3.16,0.57261,,14.4779
,5808.0,1.01,1.01,0.392,4.43,4.37,0.50778,,14.8159
,5808.0,1.01,1.01,0.392,4.43,4.37,0.3041,,14.8159
,5808.0,1.01,1.01,0.392,4.43,4.37,0.53208,,14.8159
,5890.0,1.03,1.02,0.092,4.42,3.72,3.61833,,14.6798
,5462.0,0.88,0.91,-0.248,4.52,4.47,9.97929,,14.1363
,5462.0,0.88,0.91,-0.248,4.52,4.47,4.01115,,14.1363
,6161.0,1.22,1.13,0.254,4.32,2.88,1.56577,,14.6644
,5196.0,0.8,0.84,-0.382,4.56,4.9,3.02639,,14.3746
,5820.0,1.01,1.0,0.041,4.43,3.8,0.2483,,14.657
,5971.0,1.14,1.09,0.065,4.36,3.72,1.76248,,14.8041
K7 V,4017.0,0.62,0.64,-0.971,4.67,1.0,4.93239,,15.0426
,5943.0,1.13,1.1,-0.11,4.37,3.55,3.1783,,14.7698
,5943.0,1.13,1.1,-0.11,4.37,3.55,1.52329,,14.7698
,5761.0,1.01,1.01,0.383,4.43,4.47,0.66343,,14.5717
,5693.0,0.96,0.98,0.305,4.46,4.47,2.08266,,14.9103
,5723.0,0.96,0.98,-0.057,4.47,4.27,2.15415,,14.5892
,5268.0,0.81,0.85,-0.418,4.55,4.79,2.1702,,14.5441
,4655.0,0.69,0.73,-0.695,4.62,3.72,3.99937,,14.3489
,5753.0,0.97,0.98,-0.111,4.46,3.89,2.44673,,14.9475
,5753.0,0.97,0.98,-0.111,4.46,3.89,2.84933,,14.9475
M1 V,3712.0,0.48,0.51,-1.305,4.77,3.98,4.72214,,14.8277
,5860.0,1.08,1.05,0.173,4.39,4.27,0.68651,,14.8038
,5980.0,1.11,1.09,-0.04,4.38,3.47,3.13041,,14.6704
,5980.0,1.11,1.09,-0.04,4.38,3.47,3.127,,14.6704
K2 V,4925.0,0.64,0.69,-0.678,4.68,7.0,3.8,0.4,13.7197
,6155.0,1.22,1.15,0.341,4.33,3.02,0.13675,,14.6381
,4521.0,0.68,0.72,-0.759,4.63,3.63,2.07457,,14.8956
,4201.0,0.61,0.64,-0.862,4.67,3.47,6.95973,,14.6521
,5443.0,0.86,0.9,-0.318,4.53,4.47,4.2829,,14.9634
,6117.0,1.18,1.1,0.291,4.33,3.72,1.45262,,13.4569
,5789.0,0.96,1.04,0.406,4.49,1.51,0.5185,,13.2641
,5813.0,1.05,1.01,-0.042,4.4,5.37,6.47831,,13.9435
,6424.0,1.49,1.3,0.385,4.21,2.24,0.13053,,13.949
,5721.0,1.28,1.0,0.604,4.22,8.71,0.22864,,13.0557
,5444.0,0.84,0.93,-0.283,4.55,1.91,2.03849,,13.358
,5576.0,0.9,0.98,-0.157,4.52,0.21,1.895,5.6,11.5352
,5829.0,1.04,1.02,0.302,4.42,4.47,0.41011,,13.8518
,6185.0,1.33,1.24,0.389,4.28,2.51,0.90621,,13.493
,5322.0,0.84,0.91,-0.292,4.55,3.02,2.93386,,
,5899.0,1.15,1.02,0.16,4.32,6.03,3.0417,,
,6075.0,1.24,1.03,0.421,4.26,5.37,0.45813,,13.4921
,6174.0,1.51,1.33,0.735,4.2,2.34,0.23078,,13.2638
,5203.0,0.8,0.85,-0.374,4.56,5.01,6.61361,,
,6096.0,2.56,1.64,0.382,3.84,2.19,0.60424,,13.3288
,5382.0,0.93,0.88,0.532,4.43,11.75,0.1057,,13.5186
,5896.0,1.29,1.14,0.483,4.27,4.37,0.28471,,13.2686
,5653.0,0.94,1.01,-0.024,4.5,2.09,1.02047,,13.687
,5713.0,1.13,1.02,0.39,4.33,7.08,1.31634,,13.7625
,6570.0,1.66,1.4,0.398,4.14,1.95,0.7368,,13.2945
,4908.0,2.52,1.0,0.478,3.64,12.02,0.18503,,13.7694
,6747.0,1.81,1.49,0.71,4.09,1.62,0.65519,,13.9601
,6170.0,1.21,1.13,0.451,4.33,2.95,1.07958,,14.0305
,5634.0,0.91,0.93,-0.259,4.49,4.57,2.53735,,13.7654
,6020.0,1.07,1.03,0.418,4.39,4.27,0.46519,,13.9345
,5906.74,1.55,1.07,0.418,4.09,2.75,0.40847,,13.9345
,5741.0,0.98,1.05,-0.053,4.48,1.82,0.59786,,13.9145
,5871.0,0.94,0.97,-0.044,4.48,2.95,2.36315,,13.3936
,6211.0,1.41,1.25,0.467,4.23,2.9,0.621,10.4,10.9656
,6220.0,1.44,1.25,0.451,4.23,3.31,0.6158,10.4,10.9656
,5849.0,1.35,1.08,0.284,4.21,6.46,0.55261,,14.1242
,5522.0,0.87,0.92,-0.253,4.53,3.55,1.82855,,13.9621
,5490.0,0.88,0.97,-0.27,4.54,1.48,3.49287,,13.4353
,5665.0,1.19,1.02,0.119,4.29,7.76,0.68801,,13.3461
,5865.0,1.11,1.04,0.462,4.36,5.37,0.11232,,13.6614
,6170.0,1.24,1.15,0.324,4.31,3.39,1.19551,,13.4641
,5281.0,0.82,0.86,-0.299,4.56,4.37,0.53763,,15.337
,5808.0,1.01,1.01,0.279,4.44,4.17,0.59382,,15.319
,4103.0,0.6,0.63,-0.899,4.68,3.09,3.41332,,15.491
,4870.0,0.74,0.79,-0.526,4.6,3.24,2.08906,,15.5655
G0 V,5962.0,0.97,1.04,0.051,4.48,1.0,1.62,,15.1474
,4779.0,0.71,0.75,-0.626,4.61,4.57,1.93557,,15.2644
,4483.0,0.67,0.7,-0.814,4.64,4.27,13.09803,,15.8003
,4897.0,0.74,0.79,-0.356,4.6,3.63,6.4784,,15.3741
,5264.0,0.82,0.86,-0.313,4.55,4.57,4.37918,,15.8686
,5754.0,1.02,1.01,-0.111,4.43,4.68,5.45339,,15.499
,4913.0,0.74,0.79,-0.595,4.6,4.68,4.89776,,15.4019
,5887.0,1.05,1.03,0.182,4.41,3.8,0.72036,,15.3405
,5327.0,0.87,0.91,0.557,4.53,4.68,0.26962,,15.3616
,5352.0,0.82,0.87,-0.396,4.55,3.89,6.73215,,15.2931
,6038.0,1.2,1.15,0.358,4.34,3.16,0.99415,,15.4817
G9 V,5331.0,0.78,0.86,-0.376,4.59,1.0,2.66,,16.1723
,5709.0,0.99,0.99,-0.1,4.44,4.79,2.14666,,15.0268
,5624.0,0.95,0.97,-0.081,4.47,4.47,1.24482,,15.3578
,5627.0,0.92,0.95,-0.112,4.5,4.07,1.40588,,15.1312
,5355.0,0.84,0.88,-0.344,4.54,4.47,1.41129,,15.5056
,4192.0,0.57,0.6,-0.907,4.69,3.31,18.76826,,15.1272
,4945.0,0.75,0.79,-0.507,4.6,4.68,1.80464,,15.3356
,3701.0,0.49,0.51,-1.295,4.77,4.27,4.41969,,15.8791
,5723.0,0.99,1.0,0.39,4.45,4.57,0.81913,,15.297
,5520.0,0.91,0.94,0.449,4.5,4.47,0.1231,,15.0614
,5403.0,0.84,0.87,-0.348,4.54,4.47,0.49933,,15.5291
,5875.23,1.26,1.06,0.231,4.26,6.31,0.75112,0.5,9.93355
,5875.23,1.26,1.06,0.231,4.26,6.3,0.75112,0.5,9.93355
,5890.0,1.11,1.08,0.197,4.38,3.72,1.70798,,15.2152
,5021.0,0.76,0.8,-0.457,4.58,5.01,5.76639,,15.2271
,5559.0,0.89,0.92,0.48,4.51,3.98,0.62438,,15.1172
,5703.0,0.95,0.96,-0.041,4.47,4.37,1.68649,,15.0008
,5493.0,0.86,0.89,0.209,4.53,4.37,6.18467,,15.5793
,5963.0,1.16,1.11,-0.051,4.36,3.39,1.28198,,15.0191
,5649.0,0.92,0.94,0.108,4.49,4.47,1.77544,,15.5242
,4841.0,0.73,0.77,-0.567,4.6,5.5,2.64998,,15.3943
,5715.0,0.96,0.98,-0.024,4.47,4.27,2.21218,,15.7323
,5518.0,0.88,0.91,-0.153,4.51,4.57,1.49344,,15.592
G4 V,5638.0,0.93,0.81,-0.097,4.4,9.8,1.37,,13.712
,5913.0,1.16,1.11,0.141,4.35,3.55,1.33649,,15.6723
,3715.0,0.5,0.53,-1.305,4.76,3.98,4.37819,,15.8385
,5440.0,0.86,0.9,-0.233,4.53,4.68,2.38978,,15.5495
,4881.0,0.72,0.76,-0.427,4.61,4.47,2.43887,,16.414
,5700.0,0.95,0.97,-0.078,4.47,4.07,1.41102,,15.0857
,5181.0,0.8,0.84,-0.159,4.57,4.47,2.4165,,15.1132
,5903.0,1.08,1.06,0.151,4.39,3.98,1.69443,,15.2389
,5513.0,0.88,0.92,-0.025,4.52,4.37,1.17261,,15.5462
,5612.0,0.91,0.94,0.388,4.5,4.27,0.13928,,15.432
,5330.0,0.78,0.81,0.475,4.58,4.57,1.98053,,15.4739
,5933.0,1.97,1.36,0.696,3.98,2.9,0.32016,4.2,12.8649
,5692.0,0.96,0.98,0.23,4.47,4.37,0.37264,,15.1916
,5343.0,0.84,0.88,-0.276,4.54,4.47,2.92779,,14.9683
,5419.0,0.86,0.9,-0.159,4.53,4.47,3.85261,,15.3098
,6185.0,1.27,1.18,0.067,4.29,2.69,2.29924,,15.2533
,5616.0,0.96,0.97,0.036,4.46,5.13,0.12677,,15.2487
,3722.0,0.51,0.53,-1.385,4.75,3.89,4.55841,,15.8521
,5394.0,0.84,0.87,-0.218,4.54,4.79,3.42177,,15.1663
,5099.0,0.76,0.8,-0.501,4.58,4.9,3.2332,,14.9969
,5692.0,0.96,0.97,0.037,4.47,4.37,2.78453,,15.5076
,5071.0,0.77,0.8,-0.481,4.58,4.9,3.27029,,15.1971
,5611.0,0.91,0.94,0.265,4.5,4.17,4.18264,,15.0109
,5222.0,0.8,0.84,-0.499,4.56,4.37,0.16337,,15.3293
,5148.0,0.78,0.84,-0.484,4.58,3.31,2.85327,,15.8543
,5148.0,0.78,0.84,-0.484,4.58,3.31,2.02177,,15.8543
,5785.0,0.99,0.98,0.085,4.44,3.8,4.36629,,15.0191
,5995.0,1.12,1.09,0.46,4.37,3.55,1.14941,,15.2407
,5871.0,1.04,1.04,0.165,4.42,3.98,0.1029,,15.0333
,5099.0,0.78,0.83,-0.504,4.58,4.57,2.2726,,15.1555
,5012.0,0.74,0.83,-0.504,4.62,6.2,2.86227,,15.1555
,5485.0,0.85,0.88,0.604,4.53,4.37,0.03994,,15.6239
,6191.0,1.3,1.18,0.134,4.28,2.57,2.08526,,15.2456
,5777.0,0.98,0.99,0.448,4.45,3.98,0.68424,,15.9037
,5618.0,0.92,0.95,0.032,4.49,3.63,1.58713,,15.1635
,5075.0,0.78,0.82,-0.362,4.58,4.9,1.70108,,15.6428
,5863.0,1.05,1.03,-0.039,4.41,4.37,2.9936,,15.3733
,5863.0,1.05,1.03,-0.039,4.41,4.37,1.72522,,15.3733
,5539.0,0.89,0.92,-0.172,4.51,4.57,1.45056,,15.201
,5437.0,0.86,0.9,-0.223,4.53,4.37,6.24879,,15.1206
,5363.0,0.84,0.88,-0.313,4.54,4.37,1.64307,,14.9929
,5452.0,0.85,0.88,-0.319,4.53,4.47,1.66656,,15.035
,5441.0,0.86,0.89,-0.317,4.53,4.79,0.5727,,15.352
,5660.0,0.93,0.95,0.227,4.49,4.07,1.31116,,15.5249
,5633.0,0.91,0.94,0.261,4.5,4.27,0.8273,,15.5472
,5620.0,1.41,1.05,0.236,4.16,9.5,0.529,,15.6113
,5849.0,1.06,1.03,0.035,4.41,3.8,1.3908,,15.2848
,3631.0,0.46,0.49,-1.375,4.79,4.47,5.14049,,15.0519
,5418.0,0.86,0.9,-0.298,4.53,4.27,2.62459,,15.3954
,5326.0,0.78,0.85,0.374,4.59,2.34,0.57209,,14.4119
,5107.0,0.8,0.85,-0.517,4.57,4.37,11.97771,,15.3849
,5217.0,0.81,0.86,-0.35,4.56,4.27,2.78265,,15.7425
,3813.0,0.48,0.51,-1.301,4.77,3.89,5.23896,,15.1457
,5327.0,0.82,0.86,-0.213,4.55,4.57,3.83443,,15.5908
,5601.0,0.9,0.93,0.018,4.51,4.27,0.90987,,15.4527
F8 V,6000.0,1.12,1.18,0.332,4.44,0.8,1.3,5.0,14.3652
,5438.0,0.87,0.91,-0.123,4.52,4.79,1.68147,,15.9235
,6129.0,1.24,1.16,0.332,4.31,3.16,1.09896,,15.0455
,4642.0,0.71,0.76,-0.692,4.62,2.57,3.26173,,15.1722
,5486.0,0.85,0.94,-0.176,4.55,1.86,1.6861,,12.5411
,5594.0,0.93,0.94,-0.222,4.48,5.13,9.7949,,13.5843
,5849.0,1.04,1.04,0.376,4.42,4.07,0.48669,,15.1634
,5418.0,0.93,0.91,-0.172,4.46,8.71,5.1037,,13.6111
,5096.0,0.78,0.82,-0.432,4.58,4.79,0.59966,,15.7244
,5934.0,1.1,1.07,0.36,4.38,3.72,1.44884,,15.2186
,5009.0,0.75,0.79,-0.494,4.59,4.57,3.54617,,15.7728
K0 V,5200.0,0.89,0.91,-0.215,4.5,6.2,1.85,3.5,15.1789
,6160.0,1.23,1.15,0.344,4.32,3.09,0.9652,,14.467
,6160.0,1.23,1.15,0.344,4.32,3.09,0.627,,14.467
,5387.0,0.84,0.87,-0.264,4.54,4.47,2.11123,,14.98
,5373.0,0.83,0.87,-0.125,4.54,4.07,1.61544,,15.7185
,4346.0,0.65,0.68,-0.865,4.65,3.63,4.41767,,14.4746
,5935.0,1.08,1.06,0.416,4.39,3.8,0.72319,,15.1258
,5043.0,0.77,0.82,-0.457,4.58,4.9,2.78725,,14.0242
,5043.0,0.77,0.82,-0.457,4.58,4.9,7.67757,,14.0242
,5282.0,0.79,0.82,-0.358,4.57,4.47,2.17012,,15.3912
,6014.0,1.13,1.08,0.16,4.37,3.31,3.5012,,14.7637
,6228.0,1.42,1.16,0.563,4.19,3.8,0.45714,,14.3267
,6228.0,1.42,1.16,0.563,4.19,3.8,0.1803,,14.3267
,6228.0,1.42,1.16,0.563,4.19,3.8,0.69277,,14.3267
,6228.0,1.42,1.16,0.563,4.19,3.8,0.42398,,14.3267
,5860.0,1.04,1.04,0.061,4.42,3.89,1.5122,,14.7869
F,6409.0,1.32,1.2,0.451,4.2,0.62,0.96729,6.5,13.2755
,5322.0,0.85,0.89,-0.28,4.54,4.57,2.12083,,15.0731
,5322.0,0.85,0.89,-0.28,4.54,4.57,5.32948,,15.0731
,5706.0,0.93,0.95,-0.117,4.48,4.07,2.35867,,14.7087
,5944.0,1.08,1.06,0.318,4.4,3.8,0.77867,,15.4266
,5166.0,0.8,0.84,-0.334,4.57,4.79,4.49591,,15.6824
,5557.0,0.89,0.92,-0.136,4.51,4.17,1.4571,,15.3002
,5901.0,1.06,1.05,0.146,4.41,3.72,0.84868,,14.5996
,5992.0,1.15,1.1,0.451,4.36,3.63,0.52073,,15.648
,5694.0,0.94,0.96,0.476,4.48,4.07,32.90527,,15.4176
,5108.0,0.78,0.82,-0.466,4.58,4.57,8.33869,,15.7232
,6186.0,1.28,1.19,0.179,4.3,2.88,1.36184,,14.7604
,6186.0,1.28,1.19,0.179,4.3,2.88,1.50391,,14.7604
G5 V,5520.0,0.99,0.95,-0.046,4.42,7.5,1.365,1.5,13.9172
,5598.0,0.92,0.94,0.054,4.49,4.57,3.25028,,14.5966
,5598.0,0.92,0.94,0.054,4.49,4.57,0.97772,,14.5966
,5598.0,0.92,0.94,0.054,4.49,4.57,2.07455,,14.5966
,5906.0,1.05,1.03,0.355,4.42,3.72,0.77515,,14.7461
,5714.0,1.11,0.98,0.475,4.33,8.13,0.5355,,13.9556
,5850.0,1.01,1.04,0.095,4.45,2.82,0.91462,,13.2797
,6403.0,2.42,1.57,0.753,3.87,2.14,0.38065,,12.7699
,5468.0,0.84,0.92,-0.267,4.56,1.86,1.97281,,13.4673
,5071.0,0.78,0.83,-0.437,4.58,4.37,7.27284,,15.42
,4043.0,0.56,0.58,-0.968,4.71,3.16,5.77301,,15.9397
,5102.0,0.77,0.81,-0.413,4.58,5.25,2.7269,,15.7514
,3804.0,0.44,0.46,-1.234,4.81,3.89,4.62877,,15.6335
G,5089.0,0.75,0.84,-0.498,4.6,0.625,2.84,2.6,11.5287
,5769.0,1.02,1.01,0.017,4.42,4.9,1.01394,,13.3393
,5162.0,0.78,0.81,-0.384,4.58,4.9,1.84941,,15.9511
,5867.0,1.01,0.98,0.11,4.42,5.25,0.94331,,12.7304
,5521.0,0.89,0.93,-0.231,4.51,3.89,0.90656,,13.9378
,5411.49,0.87,0.94,-0.231,4.53,9.7,1.99808,,13.9378
,5674.0,1.32,1.0,0.857,4.19,9.12,0.05821,4.8,13.2634
,4739.0,0.71,0.77,-0.683,4.62,2.82,3.97867,,15.7615
,4838.0,0.74,0.81,-0.583,4.61,2.51,2.25989,,14.9463
,4248.0,0.62,0.65,-0.895,4.67,3.39,3.24108,,15.8612
,6159.0,1.23,1.16,0.336,4.32,3.02,0.10251,,15.2595
,5870.0,1.02,1.01,0.496,4.42,3.72,0.46008,,14.5085
,6174.0,1.3,1.17,0.342,4.27,3.44,0.741,,13.8825
,5208.0,0.8,0.84,-0.424,4.56,4.9,9.48847,,15.1947
,6383.0,1.47,1.3,0.403,4.21,2.24,0.01771,,14.3687
,5971.0,1.12,1.09,0.274,4.38,3.39,1.52852,,14.976
,5745.0,0.97,0.98,0.11,4.46,4.27,0.95862,,14.601
,5839.0,1.38,1.19,0.506,4.23,4.07,1.28479,,13.442
,5631.0,0.96,0.94,-0.022,4.45,6.46,1.24741,,13.3107
,5475.0,1.09,0.93,0.572,4.33,11.75,3.55345,,12.9866
,5680.0,0.95,0.96,0.47,4.47,3.89,0.72049,,14.5416
,6224.0,1.29,1.19,0.222,4.29,2.82,0.70442,,14.1648
,5681.0,0.93,0.95,-0.09,4.49,3.98,0.82029,,
,6213.0,1.49,1.21,0.605,4.17,3.47,0.65374,10.5,13.5299
K5,4540.0,0.68,0.73,-0.77,4.64,2.0,2.33,,14.7555
K5,4540.0,0.68,0.83,-0.767,4.64,2.0,2.33,,14.7555
,5315.0,0.82,0.85,-0.358,4.55,4.68,1.0156,,15.7477
,4435.0,0.63,0.67,-0.798,4.66,3.55,1.5102,,15.2759
,5507.0,0.9,0.93,-0.226,4.5,4.68,0.49325,,14.8111
,5919.0,1.12,1.05,0.241,4.36,4.9,1.8368,,13.63
,5817.0,1.05,1.01,0.05,4.4,5.25,1.15872,,13.7361
,5817.0,1.05,1.01,0.05,4.4,5.25,1.03417,,13.7361
,6112.0,1.65,1.19,0.541,4.08,4.27,0.34859,,12.5048
,5770.0,1.16,0.99,0.407,4.3,7.76,0.31224,,11.5909
,5965.0,1.06,1.04,0.228,4.41,3.72,3.54676,,15.0693
,4653.0,0.71,0.76,-0.684,4.62,1.95,4.17487,,14.3539
,5734.0,0.98,0.99,0.001,4.45,4.37,0.88628,,14.6798
M0 V,4385.0,0.59,0.64,-0.889,4.7,3.63,4.19265,,15.004
M0 V,4385.0,0.59,0.64,-0.889,4.7,3.63,4.82896,,15.004
M0 V,4500.0,0.59,0.65,-0.889,4.7,3.63,11.51428,,15.004
,5803.0,1.04,1.03,-0.032,4.42,4.17,1.65508,,15.7606
,5747.0,1.24,1.01,0.323,4.25,7.94,0.62326,,13.9578
,6761.0,1.71,1.45,0.752,4.13,1.66,0.77147,,13.7493
,5743.0,0.93,0.95,-0.071,4.48,3.98,1.98618,,14.5352
,6162.0,1.22,1.15,0.669,4.33,3.02,1.47416,,14.6655
,5028.0,3.42,1.25,0.857,3.46,4.9,0.12089,,13.2306
,5286.0,0.85,0.9,-0.374,4.54,4.17,2.31041,,15.9357
,5861.0,1.03,1.03,0.086,4.42,3.55,1.78404,,15.5969
,5638.0,0.92,0.94,-0.124,4.49,3.98,2.45874,,15.0569
,5279.0,0.81,0.86,-0.398,4.55,4.47,2.41873,,15.0662
,5529.0,0.9,0.91,-0.185,4.49,4.68,1.77,,15.1377
,5428.0,0.94,0.96,-0.185,4.47,4.68,2.3396,,15.1377
,5428.0,0.94,0.96,-0.185,4.47,4.68,2.27335,,15.1377
,5529.0,0.9,0.91,-0.225,4.49,4.68,1.77,,15.1377
,6260.0,1.36,1.23,0.689,4.25,2.63,0.71826,,13.9436
,5191.0,0.8,0.84,-0.364,4.56,4.79,2.35671,,14.8177
,5928.0,1.08,1.06,-0.005,4.4,3.55,0.96758,,14.5966
,5643.0,0.96,0.98,0.335,4.47,4.47,1.80327,,14.7625
,6035.0,1.22,1.15,0.122,4.32,3.31,1.43366,,14.8825
,5976.0,1.08,1.03,0.12,4.39,3.55,1.63287,,14.1453
,5976.0,1.08,1.03,0.12,4.39,3.55,4.81885,,14.1453
,6079.0,1.15,1.05,0.349,4.34,4.37,0.73118,,13.4122
,5602.0,0.91,0.93,0.232,4.5,4.37,3.32701,,15.8616
,5039.0,0.77,0.81,-0.543,4.58,4.57,3.92265,,15.0441
