st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_vsin,sy_gaiamag
M0.0 V,4005.0,0.58,0.64,-1.101,4.68,4.0,4.04454,2.3,7.04775
M1.5,3600.0,0.55,0.54,-1.538,4.7,1.65,3.3,,11.3537
M4,3347.0,0.36,0.36,-1.824,4.81,,10.93,2.0,12.465
M5.5 V,3081.0,0.14,0.12,-2.804,5.16,5.5,47.47816,,13.1117
M2.5 V,3505.0,0.34,0.34,-1.798,4.94,,13.6,2.0,9.88036
M2.5,3517.0,0.43,0.45,-1.699,4.78,5.0,6.74048,1.0,10.9233
M4.0 V,3324.0,0.28,0.27,-2.062,5.05,,16.23344,2.0,11.6266
M0,3867.0,0.61,0.63,-1.12,4.65,,4.16712,1.67,9.40765
M1,3722.0,0.49,0.5,-1.387,4.77,,5.18823,0.93,9.98337
M1.5 V,3601.0,0.39,0.39,-1.71,4.87,,9.60131,2.0,
K7 V,4120.0,0.68,0.65,-0.924,4.65,12.4,2.1524,3.0,7.72808
M3.5 V,3323.0,0.37,0.35,-1.959,4.85,,9.92794,,10.4771
M4.0,3387.0,0.41,0.41,-1.706,4.97,6.9,8.27661,2.0,11.6605
M1.5 V,3461.0,0.5,0.48,-1.699,4.81,,6.36665,,8.89138
M1.5 V,3472.0,0.47,0.48,-1.699,4.76,,6.36665,,8.89138
M2V,3461.0,0.47,0.48,-1.475,4.76,,6.36665,,8.89138
M2.5 V,3479.0,0.46,0.47,-1.585,4.79,6.0,7.0,0.33,9.57148
M3.5 Ve,3381.0,0.46,0.45,-1.612,4.78,,6.73991,,10.3249
M3.5 V,3340.0,0.33,0.32,-1.917,4.89,,12.10824,,10.094
G0 V,6234.0,1.26,1.22,0.332,4.6,0.16,0.63882,5.47,5.04156
M1 V,3685.0,0.5,0.52,-1.377,4.75,0.4,5.4445,1.2,8.85881
M3 V,3396.0,0.33,0.31,-1.885,4.89,4.3,12.22384,2.1,9.411
M2,3499.0,0.31,0.3,-1.894,4.94,,11.72633,0.2,9.13702
