discoverymethod,disc_locale,disc_facility,disc_telescope
Radial Velocity,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Radial Velocity,Ground,W. M. Keck Observatory,10 m Keck I Telescope
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
Transit,Ground,HATNet,Canon 200mm f/1.8L
