system_name,sy_snum,sy_pnum,sy_mnum
HD 63454,1,1,0
HD 63765,1,1,0
HD 64114,1,1,0
HD 6434,1,1,0
HD 65216,3,2,0
HD 66141,1,1,0
HD 66428,1,1,0
HD 67087,1,2,0
HD 6718,1,1,0
HD 68402,1,1,0
HD 68988,1,1,0
HD 69830,1,3,0
HD 70573,1,1,0
HD 70642,1,1,0
HD 7199,1,1,0
HD 72490,1,1,0
HD 72659,1,1,0
HD 72892,1,1,0
HD 73267,1,1,0
HD 73526,1,2,0
HD 73534,1,1,0
HD 74156,1,2,0
HD 7449,2,1,0
HD 75289,2,1,0
HD 75784,1,2,0
HD 75898,1,1,0
HD 76700,1,1,0
HD 76920,1,1,0
HD 77338,1,1,0
HD 7924,1,3,0
HD 79498,2,1,0
HD 80606,2,1,0
HD 80653,1,1,0
HD 81040,1,1,0
HD 81688,1,1,0
HD 81817,1,1,0
HD 82886,1,1,0
HD 82943,1,2,0
HD 8326,1,1,0
HD 83443,1,1,0
HD 8535,2,1,0
HD 85390,1,1,0
HD 85512,1,1,0
HD 8574,1,1,0
HD 86081,2,1,0
HD 86226,1,2,0
HD 86264,1,1,0
HD 8673,2,1,0
HD 86950,1,1,0
HD 87646,3,1,0
HD 87883,1,1,0
HD 88133,1,1,0
HD 89307,1,1,0
HD 89345,1,1,0
HD 89744,2,1,0
HD 90156,1,1,0
HD 9174,1,1,0
HD 92788,1,2,0
HD 92987,1,1,0
HD 93083,1,1,0
HD 9446,1,2,0
HD 94834,1,1,0
HD 95086,1,1,0
HD 95089,1,2,0
HD 95127,1,1,0
HD 95338,1,1,0
HD 95872,1,1,0
HD 96063,1,1,0
HD 96127,1,1,0
HD 96167,2,1,0
HD 96992,1,1,0
HD 97048,1,1,0
HD 97658,1,1,0
HD 98219,1,1,0
HD 98649,1,1,0
HD 98736,2,1,0
HD 99109,1,1,0
HD 99492,2,1,0
HD 99706,1,2,0
HIP 105854,1,1,0
HIP 107772,1,1,0
HIP 107773,1,1,0
HIP 109384,1,1,0
HIP 109600,2,1,0
HIP 116454,2,1,0
HIP 12961,1,1,0
HIP 14810,1,3,0
HIP 35173,1,1,0
HIP 38594,1,2,0
HIP 41378,1,5,0
HIP 4845,1,1,0
HIP 48714,1,1,0
HIP 5158,1,2,0
HIP 54373,1,2,0
HIP 57274,1,3,0
HIP 63242,1,1,0
HIP 65 A,2,1,0
HIP 65407,1,2,0
HIP 65426,1,1,0
HIP 65891,1,1,0
HIP 67522,1,1,0
HIP 67537,1,1,0
HIP 67851,1,2,0
HIP 70849,2,1,0
HIP 71135,1,1,0
HIP 74890,1,1,0
HIP 78530,1,1,0
HIP 79098 AB,2,1,0
HIP 79431,1,1,0
HIP 8541,2,1,0
HIP 91258,1,1,0
HIP 97233,1,1,0
HN Peg,1,1,0
HR 2562,1,1,0
HR 5183,2,1,0
HR 810,1,1,0
HR 858,2,3,0
HR 8799,1,4,0
HU Aqr,2,2,0
HW Vir,3,1,0
IC 4651 9122,1,1,0
K2-10,1,1,0
K2-100,1,1,0
K2-101,1,1,0
K2-102,1,1,0
K2-104,1,1,0
K2-105,1,1,0
K2-107,1,1,0
K2-108,1,1,0
K2-11,1,1,0
K2-110,1,1,0
K2-111,1,2,0
K2-113,1,1,0
K2-114,1,1,0
K2-115,1,1,0
K2-116,1,1,0
K2-117,1,2,0
K2-118,1,1,0
K2-119,1,1,0
K2-12,1,1,0
K2-120,1,1,0
K2-121,1,1,0
K2-122,2,1,0
K2-123,1,1,0
K2-124,1,1,0
K2-125,1,1,0
K2-126,1,1,0
K2-127,1,1,0
K2-128,1,1,0
K2-129,1,1,0
K2-13,1,1,0
K2-130,1,1,0
K2-131,1,1,0
K2-132,1,1,0
K2-133,1,4,0
K2-136,2,3,0
K2-137,1,1,0
K2-138,1,6,0
K2-139,1,1,0
K2-14,1,1,0
K2-140,1,1,0
K2-141,1,2,0
K2-146,1,2,0
K2-147,1,1,0
K2-148,2,3,0
K2-149,1,1,0
K2-15,1,1,0
K2-150,1,1,0
K2-151,2,1,0
K2-152,1,1,0
K2-153,1,1,0
K2-154,1,2,0
K2-155,1,3,0
K2-156,1,1,0
K2-157,1,1,0
K2-158,1,2,0
K2-159,1,1,0
K2-160,1,1,0
K2-161,1,1,0
K2-162,1,1,0
K2-163,1,1,0
K2-164,1,1,0
K2-165,1,3,0
K2-167,1,1,0
K2-169,1,1,0
K2-17,1,1,0
K2-170,1,2,0
K2-171,1,1,0
K2-172,1,2,0
K2-173,1,1,0
K2-174,1,1,0
K2-175,1,1,0
K2-176,1,1,0
K2-177,1,1,0
K2-178,1,1,0
K2-179,1,1,0
K2-18,1,2,0
K2-180,1,1,0
K2-181,1,1,0
K2-182,1,1,0
K2-183,1,3,0
