pl_name,pl_letter
HD 23472 b,b
HD 23472 c,c
HD 23596 b,b
HD 238090 b,b
HD 238914 b,b
HD 240210 b,b
HD 240237 b,b
HD 24040 b,b
HD 24064 b,b
HD 24085 b,b
HD 25015 b,b
HD 25171 b,b
HD 2638 b,b
HD 2685 b,b
HD 26965 b,b
HD 27442 b,b
HD 27631 b,b
HD 27894 b,b
HD 27894 c,c
HD 27894 d,d
HD 28185 b,b
HD 28254 b,b
HD 285507 b,b
HD 285968 b,b
HD 28678 b,b
HD 29021 b,b
HD 290327 b,b
HD 2952 b,b
HD 30177 b,b
HD 30177 c,c
HD 30562 b,b
HD 30669 b,b
HD 30856 b,b
HD 31253 b,b
HD 31527 b,b
HD 31527 c,c
HD 31527 d,d
HD 3167 b,b
HD 3167 c,c
HD 3167 d,d
HD 32518 b,b
HD 32963 b,b
HD 330075 b,b
HD 33142 b,b
HD 33142 c,c
HD 332231 b,b
HD 33283 b,b
HD 33564 b,b
HD 33844 b,b
HD 33844 c,c
HD 34445 b,b
HD 34445 c,c
HD 34445 d,d
HD 34445 e,e
HD 34445 f,f
HD 34445 g,g
HD 35759 b,b
HD 3651 b,b
HD 37124 b,b
HD 37124 c,c
HD 37124 d,d
HD 37605 b,b
HD 37605 c,c
HD 38283 b,b
HD 38529 b,b
HD 38529 c,c
HD 38801 b,b
HD 39091 b,b
HD 39855 b,b
HD 40307 b,b
HD 40307 c,c
HD 40307 d,d
HD 40307 f,f
HD 40307 g,g
HD 40956 b,b
HD 40979 b,b
HD 41004 A b,b
HD 41004 B b,b
HD 4113 b,b
HD 42012 b,b
HD 4203 b,b
HD 4203 c,c
HD 4208 b,b
HD 42618 b,b
HD 4308 b,b
HD 4313 b,b
HD 43197 b,b
HD 43691 b,b
HD 44219 b,b
HD 45184 b,b
HD 45184 c,c
HD 45350 b,b
HD 45364 b,b
HD 45364 c,c
HD 45652 b,b
HD 46375 b,b
HD 47186 b,b
HD 47186 c,c
HD 4732 b,b
HD 4732 c,c
HD 47366 b,b
HD 47366 c,c
HD 47536 b,b
HD 4760 b,b
HD 48265 b,b
HD 4917 b,b
HD 49674 b,b
HD 50499 b,b
HD 50499 c,c
HD 50554 b,b
HD 51608 b,b
HD 51608 c,c
HD 52265 b,b
HD 5278 b,b
HD 5278 c,c
HD 5319 b,b
HD 5319 c,c
HD 55696 b,b
HD 5583 b,b
HD 5608 b,b
HD 564 b,b
HD 5891 b,b
HD 59686 A b,b
HD 60292 b,b
HD 60532 b,b
HD 60532 c,c
HD 62509 b,b
HD 63433 b,b
HD 63433 c,c
HD 63454 b,b
HD 63765 b,b
HD 64114 b,b
HD 6434 b,b
HD 65216 b,b
HD 65216 c,c
HD 66141 b,b
HD 66428 b,b
HD 67087 b,b
HD 67087 c,c
HD 6718 b,b
HD 68402 b,b
HD 68988 b,b
HD 69830 b,b
HD 69830 c,c
HD 69830 d,d
HD 70573 b,b
HD 70642 b,b
HD 7199 b,b
HD 72490 b,b
HD 72659 b,b
HD 72892 b,b
HD 73267 b,b
HD 73526 b,b
HD 73526 c,c
HD 73534 b,b
HD 74156 b,b
HD 74156 c,c
HD 7449 b,b
HD 75289 b,b
HD 75784 b,b
HD 75784 c,c
HD 75898 b,b
HD 76700 b,b
HD 76920 b,b
HD 77338 b,b
HD 7924 b,b
HD 7924 c,c
HD 7924 d,d
HD 79498 b,b
HD 80606 b,b
HD 80653 b,b
HD 81040 b,b
HD 81688 b,b
HD 81817 b,b
HD 82886 b,b
HD 82943 b,b
HD 82943 c,c
HD 8326 b,b
HD 83443 b,b
HD 8535 b,b
HD 85390 b,b
HD 85512 b,b
HD 8574 b,b
HD 86081 b,b
HD 86226 b,b
HD 86226 c,c
HD 86264 b,b
HD 8673 b,b
HD 86950 b,b
HD 87646 b,b
HD 87883 b,b
HD 88133 b,b
HD 89307 b,b
HD 89345 b,b
HD 89744 b,b
HD 90156 b,b
HD 9174 b,b
HD 92788 b,b
HD 92788 c,c
HD 92987 b,b
HD 93083 b,b
HD 9446 b,b
HD 9446 c,c
HD 94834 b,b
HD 95086 b,b
HD 95089 b,b
HD 95089 c,c
HD 95127 b,b
HD 95338 b,b
HD 95872 b,b
HD 96063 b,b
HD 96127 b,b
HD 96167 b,b
HD 96992 b,b
HD 97048 b,b
HD 97658 b,b
HD 98219 b,b
HD 98649 b,b
HD 98736 b,b
HD 99109 b,b
HD 99492 b,b
HD 99706 b,b
HD 99706 c,c
HIP 105854 b,b
HIP 107772 b,b
HIP 107773 b,b
HIP 109384 b,b
HIP 109600 b,b
HIP 116454 b,b
HIP 12961 b,b
HIP 14810 b,b
HIP 14810 c,c
HIP 14810 d,d
HIP 35173 b,b
HIP 38594 b,b
HIP 38594 c,c
HIP 41378 b,b
HIP 41378 c,c
HIP 41378 d,d
HIP 41378 e,e
HIP 41378 f,f
HIP 4845 b,b
HIP 48714 b,b
HIP 5158 b,b
HIP 5158 c,c
HIP 54373 b,b
HIP 54373 c,c
HIP 57274 b,b
HIP 57274 c,c
HIP 57274 d,d
HIP 63242 b,b
HIP 65 A b,b
HIP 65407 b,b
HIP 65407 c,c
HIP 65426 b,b
HIP 65891 b,b
HIP 67522 b,b
HIP 67537 b,b
HIP 67851 b,b
HIP 67851 c,c
HIP 70849 b,b
HIP 71135 b,b
HIP 74890 b,b
HIP 78530 b,b
HIP 79098 AB b,b
HIP 79431 b,b
HIP 8541 b,b
HIP 91258 b,b
HIP 97233 b,b
HN Peg b,b
HR 2562 b,b
HR 5183 b,b
HR 810 b,b
HR 858 b,b
HR 858 c,c
HR 858 d,d
HR 8799 b,b
HR 8799 c,c
HR 8799 d,d
HR 8799 e,e
HU Aqr AB b,b
HU Aqr AB c,c
HW Vir b,b
IC 4651 9122 b,b
K2-10 b,b
K2-100 b,b
K2-101 b,b
K2-102 b,b
K2-104 b,b
K2-105 b,b
K2-107 b,b
K2-108 b,b
K2-11 b,b
K2-110 b,b
K2-111 b,b
K2-111 c,c
K2-113 b,b
K2-114 b,b
K2-115 b,b
K2-116 b,b
K2-117 b,b
K2-117 c,c
K2-118 b,b
K2-119 b,b
K2-12 b,b
K2-120 b,b
K2-121 b,b
K2-122 b,b
K2-123 b,b
K2-124 b,b
K2-125 b,b
K2-126 b,b
K2-127 b,b
K2-128 b,b
K2-129 b,b
K2-13 b,b
K2-130 b,b
K2-131 b,b
K2-132 b,b
K2-133 b,b
K2-133 c,c
K2-133 d,d
K2-133 e,e
K2-136 b,b
K2-136 c,c
K2-136 d,d
K2-137 b,b
K2-138 b,b
K2-138 c,c
K2-138 d,d
K2-138 e,e
K2-138 f,f
K2-138 g,g
K2-139 b,b
K2-14 b,b
K2-140 b,b
K2-141 b,b
K2-141 c,c
K2-146 b,b
K2-146 c,c
K2-147 b,b
K2-148 b,b
K2-148 c,c
K2-148 d,d
K2-149 b,b
K2-15 b,b
K2-150 b,b
K2-151 b,b
K2-152 b,b
K2-153 b,b
K2-154 b,b
K2-154 c,c
K2-155 b,b
K2-155 c,c
K2-155 d,d
K2-156 b,b
K2-157 b,b
K2-158 b,b
K2-158 c,c
K2-159 b,b
K2-16 b,b
K2-16 c,c
K2-160 b,b
K2-161 b,b
K2-162 b,b
K2-163 b,b
K2-164 b,b
K2-165 b,b
K2-165 c,c
K2-165 d,d
K2-166 b,b
K2-167 b,b
K2-168 b,b
K2-169 b,b
K2-17 b,b
K2-170 b,b
K2-170 c,c
K2-171 b,b
K2-172 b,b
K2-172 c,c
K2-173 b,b
K2-174 b,b
K2-175 b,b
K2-176 b,b
K2-177 b,b
K2-178 b,b
K2-179 b,b
K2-18 b,b
K2-18 c,c
K2-180 b,b
K2-181 b,b
K2-182 b,b
K2-183 b,b
K2-183 c,c
K2-183 d,d
K2-184 b,b
K2-185 b,b
K2-186 b,b
K2-187 b,b
K2-187 c,c
K2-187 d,d
K2-187 e,e
K2-188 b,b
K2-188 c,c
K2-189 b,b
K2-189 c,c
K2-19 b,b
K2-19 c,c
K2-19 d,d
K2-190 b,b
K2-190 c,c
K2-191 b,b
K2-192 b,b
K2-193 b,b
K2-194 b,b
K2-195 b,b
K2-195 c,c
K2-196 b,b
K2-197 b,b
K2-198 b,b
K2-198 c,c
K2-198 d,d
K2-199 b,b
K2-199 c,c
K2-200 b,b
K2-201 b,b
K2-201 c,c
K2-202 b,b
K2-203 b,b
K2-204 b,b
K2-205 b,b
K2-206 b,b
K2-207 b,b
K2-208 b,b
K2-209 b,b
K2-21 b,b
K2-21 c,c
K2-210 b,b
K2-211 b,b
K2-212 b,b
K2-213 b,b
K2-214 b,b
K2-215 b,b
K2-216 b,b
K2-217 b,b
K2-218 b,b
K2-219 b,b
K2-219 c,c
K2-219 d,d
K2-22 b,b
K2-220 b,b
K2-221 b,b
K2-222 b,b
K2-223 b,b
K2-223 c,c
K2-224 b,b
K2-224 c,c
K2-225 b,b
K2-226 b,b
K2-227 b,b
K2-228 b,b
K2-229 b,b
K2-229 c,c
K2-230 b,b
K2-231 b,b
K2-232 b,b
K2-233 b,b
K2-233 c,c
K2-233 d,d
K2-237 b,b
K2-238 b,b
K2-239 b,b
K2-239 c,c
K2-239 d,d
K2-24 b,b
K2-24 c,c
K2-240 b,b
K2-240 c,c
K2-241 b,b
K2-242 b,b
K2-243 b,b
K2-243 c,c
K2-244 b,b
K2-245 b,b
K2-246 b,b
K2-247 b,b
K2-247 c,c
K2-248 b,b
K2-249 b,b
K2-25 b,b
K2-250 b,b
K2-251 b,b
K2-252 b,b
K2-253 b,b
K2-254 b,b
K2-254 c,c
K2-255 b,b
K2-256 b,b
K2-257 b,b
K2-258 b,b
K2-259 b,b
K2-26 b,b
K2-260 b,b
K2-261 b,b
K2-263 b,b
K2-264 b,b
K2-264 c,c
K2-265 b,b
K2-266 b,b
K2-266 c,c
K2-266 d,d
K2-266 e,e
K2-268 b,b
K2-268 c,c
K2-269 b,b
K2-27 b,b
K2-270 b,b
K2-270 c,c
K2-271 b,b
K2-272 b,b
K2-273 b,b
K2-274 b,b
K2-275 b,b
K2-275 c,c
K2-276 b,b
K2-277 b,b
K2-278 b,b
K2-279 b,b
K2-28 b,b
K2-280 b,b
K2-281 b,b
K2-282 b,b
K2-283 b,b
K2-284 b,b
K2-285 b,b
K2-285 c,c
K2-285 d,d
K2-285 e,e
K2-286 b,b
K2-287 b,b
K2-288 B b,b
K2-289 b,b
K2-29 b,b
K2-290 b,b
K2-290 c,c
K2-291 b,b
K2-292 b,b
K2-293 b,b
K2-294 b,b
K2-295 b,b
K2-3 b,b
K2-3 c,c
K2-3 d,d
K2-30 b,b
K2-308 b,b
K2-31 b,b
K2-315 b,b
K2-316 b,b
K2-316 c,c
K2-317 b,b
K2-318 b,b
K2-319 b,b
K2-32 b,b
K2-32 c,c
K2-32 d,d
K2-32 e,e
K2-320 b,b
K2-321 b,b
K2-322 b,b
K2-323 b,b
K2-324 b,b
K2-325 b,b
K2-326 b,b
K2-329 b,b
K2-33 b,b
K2-34 b,b
K2-35 b,b
K2-35 c,c
K2-36 b,b
K2-36 c,c
K2-37 b,b
K2-37 c,c
K2-37 d,d
K2-38 b,b
K2-38 c,c
K2-39 b,b
K2-4 b,b
K2-42 b,b
K2-43 b,b
K2-43 c,c
K2-44 b,b
K2-45 b,b
K2-46 b,b
K2-47 b,b
K2-48 b,b
K2-49 b,b
K2-5 b,b
K2-5 c,c
K2-50 b,b
K2-52 b,b
K2-53 b,b
K2-54 b,b
K2-55 b,b
K2-57 b,b
K2-58 b,b
K2-58 c,c
K2-58 d,d
K2-59 b,b
K2-59 c,c
K2-6 b,b
K2-60 b,b
K2-61 b,b
K2-62 b,b
K2-62 c,c
K2-63 b,b
K2-63 c,c
K2-64 b,b
K2-65 b,b
K2-66 b,b
K2-68 b,b
K2-69 b,b
K2-7 b,b
K2-70 b,b
K2-71 b,b
